Coffee Shop Count,Hotel Count,Restaurant Count,Latitude,Longitude,Cluster Labels,Neighborhood,Borough
2,1,1,43.75245000000007,-79.32990999999998,0,Parkwoods,North York
68,0,9,43.66253000000007,-79.39187999999996,2,"Queen's Park, Ontario Provincial Government",Downtown Toronto
32,0,7,43.65512000000007,-79.36263999999993,2,"Regent Park, Harbourfront",Downtown Toronto
45,21,49,43.649700000000045,-79.38257999999995,1,"Richmond, Adelaide, King",Downtown Toronto
0,0,1,43.68190000000004,-79.37828999999994,0,Rosedale,Downtown Toronto
1,0,0,43.712080000000064,-79.41847999999997,0,Roselawn,Central Toronto
1,0,0,43.785740000000025,-79.15874999999993,0,"Rouge Hill, Port Union, Highland Creek",Scarborough
15,0,10,43.64982000000003,-79.47547999999995,0,"Runnymede, Swansea",West Toronto
2,0,2,43.67646000000008,-79.48271999999997,0,"Runnymede, The Junction North",York
2,0,2,43.74446000000007,-79.23116999999995,0,Scarborough Village,Scarborough
2,0,2,43.74453000000005,-79.58623999999998,0,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",Etobicoke
44,14,34,43.65215000000007,-79.37586999999995,2,St. James Town,Downtown Toronto
12,0,13,43.66788000000002,-79.36648999999993,0,"St. James Town, Cabbagetown",Downtown Toronto
5,0,4,43.80079000000007,-79.32161999999994,0,"Steeles West, L'Amoreaux West",Scarborough
46,17,56,43.648690000000045,-79.38543999999995,1,Stn A PO Boxes,Downtown Toronto
17,0,16,43.66213000000005,-79.33496999999993,0,Studio District,East Toronto
10,0,1,43.68568000000005,-79.40236999999995,0,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Central Toronto
22,0,7,43.674840000000074,-79.40451999999993,0,"The Annex, North Midtown, Yorkville",Central Toronto
12,0,1,43.67709000000008,-79.29546999999997,0,The Beaches,East Toronto
18,0,0,43.68375000000003,-79.35511999999993,0,"The Danforth West, Riverdale",East Toronto
3,0,0,43.653190000000045,-79.51112999999998,0,"The Kingsway, Montgomery Road, Old Mill North",Etobicoke
2,0,3,43.70142000000004,-79.34904999999998,0,Thorncliffe Park,East York
41,23,46,43.64710000000007,-79.38152999999993,1,"Toronto Dominion Centre, Design Exchange",Downtown Toronto
55,1,17,43.663110000000074,-79.40179999999998,2,"University of Toronto, Harbord",Downtown Toronto
