,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
57,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Fried Chicken Joint,Flock Rotisserie + Greens,43.659167,-79.389475
62,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Café,Aroma Espresso Bar,43.658927676749364,-79.38990298985978
63,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Vegetarian / Vegan Restaurant,The Green Beet Cafe,43.66209577172247,-79.39415302454405
64,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Falafel Restaurant,Quick Pita,43.65879751594094,-79.39513763494665
65,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Gallery Grill,43.663841,-79.394309
66,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Mediterranean Restaurant,The Saj,43.65878737223263,-79.39520834668025
67,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Indian Restaurant,Veda Healthy Indian Takeout,43.65980608863362,-79.39508379136744
70,"Islington Avenue, Humber Valley Village",43.662630000000036,-79.52830999999998,Café,Java Joe's Village Cafe,43.662460906352436,-79.53205381416235
71,"Malvern, Rouge",43.811390000000074,-79.19661999999994,Fast Food Restaurant,Wendy’s,43.80744841934756,-79.19905558052072
73,"Parkview Hill, Woodbine Gardens",43.70718000000005,-79.31191999999999,Gastropub,Jawny Bakers,43.705782646822,-79.31291304477831
75,"Parkview Hill, Woodbine Gardens",43.70718000000005,-79.31191999999999,Fast Food Restaurant,Harvey's,43.71096402126402,-79.30908534280502
77,"Parkview Hill, Woodbine Gardens",43.70718000000005,-79.31191999999999,Café,Nostalgia,43.706832771917064,-79.31178314223835
79,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Café,Page One Cafe,43.65777161112601,-79.3760725691681
81,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Ramen Restaurant,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793
83,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Diner,The Senator Restaurant,43.65564091455335,-79.37919882575557
