Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Nespresso Boutique - Bar,43.66988316570838,-79.39335858121262
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Starbucks,43.65945605353152,-79.39041123272168
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Coffee Island,43.66427089680226,-79.38697157138014
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Aroma Espresso Bar,43.66796263749082,-79.38887274197582
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Sorry Coffee Co.,43.66995375187845,-79.39182812626106
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Coffee Public,43.66076299149323,-79.38618409033066
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,The Library Specialty Coffee,43.65441282740799,-79.39090161351724
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Cafe Plenty,43.65457125894357,-79.38944976536852
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Crimson Teas 堅信良茶,43.656953,-79.399449
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Black Bear Espresso,43.66143582514135,-79.3814931962942
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Caffè Bacio,43.67029067811209,-79.39057775878906
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Innis Cafe,43.665401003815745,-79.39971478706231
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Windsor Arms Tea Room,43.6688623376814,-79.39077452813828
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,B Espresso Bar,43.668143372259195,-79.39608691203554
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,McCafé,43.6579428,-79.398993
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Second Cup,43.66549422185526,-79.38765204858025
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Tsujiri,43.65537430780922,-79.38535434742991
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Piedmont Coffee Bar,43.66828640594333,-79.38252026711419
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Carafted Bean,43.6543408802583,-79.39135490977962
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,7 West Cafe,43.66866503275271,-79.38682953936424
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,L'Espresso Bar Mercurio,43.667607786430985,-79.39920107639665
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Cafe Bora,43.670909,-79.391721
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Cafe La Gaffe,43.65621134762937,-79.39333144271436
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Light Café 路燈咖啡,43.65607098189164,-79.39302058882892
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Höm Cafe,43.670487,-79.390329
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Uncle Tetsu,43.65603138949496,-79.38350988129672
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Second Cup Coffee Co.,43.66535,-79.398376
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Fresh Start Coffee Co.,43.657377165116216,-79.38439256972293
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Latte Mei 奶蓋咩,43.65489137554632,-79.38737632355183
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,AGO Espresso Bar,43.6541461873951,-79.39231147264867
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Sliced,43.65719251976614,-79.38448934975915
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Goldstruck,43.670055560682655,-79.39219867052351
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Red Fish Blue Fish Creative Cafe,43.662826909852434,-79.40281748771667
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,The Drink,43.66416675815651,-79.3801489917456
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,The Exchange Cafe,43.66474319518934,-79.39862392724245
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,T.A.N. Coffee,43.65602860741956,-79.39353447011945
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Zavida Coffee Roasters,43.659692329544725,-79.38263798664069
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Bicerin Coffee,43.655831,-79.393448
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Presse Cafe,43.66257675207432,-79.38633959907268
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Green Grotto 綠的小窩,43.66582795892281,-79.38710451433707
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Kelly Cafe,43.66523676147197,-79.38962036734132
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,La Prep,43.661659240722656,-79.38768005371094
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Diabolos',43.663121842458715,-79.39641237258911
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Coffee Exchange,43.65373019161559,-79.39098314529086
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Hi Tea,43.665462055032386,-79.3848789226427
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Timothy's World Coffee,43.65405317976302,-79.38808999785911
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,The Buttery,43.66522016928499,-79.39691851938447
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,CUBE,43.659172447839545,-79.39764756014323
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,InCha 印茶,43.659668,-79.385266
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Sam James Coffee Bar,43.66861433609234,-79.3938728363979
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Carbonic Coffee,43.655898,-79.393491
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Café AC,43.663265,-79.401675
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Sonic Café,43.65623942759297,-79.39877622540405
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,1 hour cafe,43.65756488424352,-79.39926593581069
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Mos Mos Coffee,43.657547,-79.3843
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Pilot Coffee Roasters,43.66941,-79.38798
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,McCafe,43.659822,-79.382173
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Vallena Bakery Boutique,43.661595461884836,-79.38152964669133
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Coffee Shop,Cuppa Tea,43.661446458446676,-79.38136037997468
